entity_kind,entity,rank_or_class,param,from_version,to_version,from_value,to_value,abs_delta,pct_delta
taxon,Malacostraca,class,temporal_discount_rate,0.4.0,0.5.0,0.707102,0.786121,0.079019,0.11175
taxon,Malacostraca,class,effort_price_elasticity,0.4.0,0.5.0,-1.17521,-1.232529,0.057319,0.048773
taxon,Malacostraca,class,cooperation_propensity,0.4.0,0.5.0,0.547229,0.446868,0.100361,0.183399
taxon,Malacostraca,class,inequity_sensitivity,0.4.0,0.5.0,0.603683,0.529544,0.074139,0.122811
taxon,Malacostraca,class,punishment_propensity,0.4.0,0.5.0,0.516588,0.421009,0.095579,0.18502
taxon,Malacostraca,class,tokenization_capacity,0.4.0,0.5.0,0.540538,0.442711,0.097827,0.180981
taxon,Mammalia,class,risk_preference,0.3.0,0.3.1,0.949504,0.949504,0.0,0.0
taxon,Mammalia,class,temporal_discount_rate,0.3.0,0.3.1,0.525517,0.525517,0.0,0.0
taxon,Mammalia,class,effort_price_elasticity,0.3.0,0.3.1,-0.850329,-0.850329,0.0,0.0
taxon,Mammalia,class,cooperation_propensity,0.3.0,0.3.1,0.739775,0.739775,0.0,0.0
taxon,Mammalia,class,inequity_sensitivity,0.3.0,0.3.1,0.723379,0.723379,0.0,0.0
taxon,Mammalia,class,punishment_propensity,0.3.0,0.3.1,0.613825,0.613825,0.0,0.0
taxon,Mammalia,class,tokenization_capacity,0.3.0,0.3.1,0.802846,0.802846,0.0,0.0
taxon,Mammalia,class,risk_preference,0.3.1,0.4.0,0.949504,0.937992,0.011512,0.012124
taxon,Mammalia,class,temporal_discount_rate,0.3.1,0.4.0,0.525517,0.506157,0.01936,0.03684
taxon,Mammalia,class,effort_price_elasticity,0.3.1,0.4.0,-0.850329,-0.877439,0.02711,0.031882
taxon,Mammalia,class,cooperation_propensity,0.3.1,0.4.0,0.739775,0.672459,0.067316,0.090995
taxon,Mammalia,class,inequity_sensitivity,0.3.1,0.4.0,0.723379,0.668699,0.05468,0.07559
taxon,Mammalia,class,punishment_propensity,0.3.1,0.4.0,0.613825,0.597615,0.01621,0.026408
taxon,Mammalia,class,tokenization_capacity,0.3.1,0.4.0,0.802846,0.763217,0.039629,0.049361
taxon,Mammalia,class,risk_preference,0.4.0,0.5.0,0.937992,0.913524,0.024468,0.026086
taxon,Mammalia,class,temporal_discount_rate,0.4.0,0.5.0,0.506157,0.437199,0.068958,0.136238
taxon,Mammalia,class,effort_price_elasticity,0.4.0,0.5.0,-0.877439,-0.893993,0.016554,0.018866
taxon,Mammalia,class,cooperation_propensity,0.4.0,0.5.0,0.672459,0.729772,0.057313,0.085229
taxon,Mammalia,class,inequity_sensitivity,0.4.0,0.5.0,0.668699,0.7222,0.053501,0.080008
taxon,Mammalia,class,punishment_propensity,0.4.0,0.5.0,0.597615,0.611447,0.013832,0.023145
taxon,Mammalia,class,tokenization_capacity,0.4.0,0.5.0,0.763217,0.801956,0.038739,0.050758
taxon,Apidae,family,risk_preference,0.3.0,0.3.1,0.932434,0.932434,0.0,0.0
taxon,Apidae,family,temporal_discount_rate,0.3.0,0.3.1,0.718064,0.718064,0.0,0.0
taxon,Apidae,family,effort_price_elasticity,0.3.0,0.3.1,-0.626031,-0.626031,0.0,0.0
